Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Poverty headcount ratio at societal poverty line (% of population) [SI.POV.SOPO]
2014,YR2014,Jordan,JOR,7.20892906,4.64796257,..,4.20345261907888,..,..
2014,YR2014,Kazakhstan,KAZ,2.97468472,2.13331342,3.429039478302,1.0416921334727,0.167219996452332,11.2
2014,YR2014,Kenya,KEN,4.91267347,1.83768213,4.7172999382019,1.19943336712808,..,..
2014,YR2014,Kiribati,KIR,8.9549551,7.37837839,12.9530000686646,..,..,..
2014,YR2014,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..
2014,YR2014,"Korea, Rep.",KOR,6.50225973,3.5710175,..,2.52993578083201,4.07785987854004,14.2
2014,YR2014,Kosovo,XKX,..,..,..,0.758329267674349,..,19.5
2014,YR2014,Kuwait,KWT,2.9159987,2.466609,..,3.58561842128005,0.427049994468689,..
2014,YR2014,Kyrgyz Republic,KGZ,7.35766459,2.74904537,6.46763563156128,1.7135690234793,0.125359997153282,23.8
2014,YR2014,Lao PDR,LAO,2.29845548,0.68373317,2.93780994415283,..,..,..
2014,YR2014,Latvia,LVA,5.46339607,3.26013923,5.28122997283936,0.943460035769368,0.689079999923706,16.4
2014,YR2014,Lebanon,LBN,7.52181005,3.57177019,..,4.67817522836761,..,..
2014,YR2014,Lesotho,LSO,9.99925232,5.8080492,7.19999980926514,1.95379607639772,..,..
2014,YR2014,Liberia,LBR,8.76283932,0.82358247,2.16898345947266,1.03252916478791,..,36.5
2014,YR2014,Libya,LBY,5.17777824,3.42913532,..,15.4795763013832,..,..
2014,YR2014,Liechtenstein,LIE,..,..,..,..,..,..
2014,YR2014,Lithuania,LTU,6.19332647,4.12314367,4.48657989501953,0.879596257744358,1.03011000156403,17.7
2014,YR2014,Luxembourg,LUX,5.23040915,4.40729094,3.85569000244141,0.366856825936978,1.21700000762939,12.1
2014,YR2014,"Macao SAR, China",MAC,..,..,2.04853010177612,..,0.0877600014209747,..
2014,YR2014,Madagascar,MDG,4.46240282,1.74814212,2.98742127418518,0.556391260884791,0.0132099995389581,..
2014,YR2014,Malawi,MWI,6.89776182,1.56810546,3.66006016731262,0.580771920223763,..,..
2014,YR2014,Malaysia,MYS,3.71036959,2.03088164,5.02935981750488,1.45511301633341,1.2627500295639,..
2014,YR2014,Maldives,MDV,7.91345072,4.904356,3.88979530334473,..,..,..
2014,YR2014,Mali,MLI,4.48158312,0.89173758,3.64819002151489,1.51593383195421,..,..
2014,YR2014,Malta,MLT,9.08505249,5.59774208,7.00420999526978,0.486761550387849,0.691789984703064,11.7
2014,YR2014,Marshall Islands,MHL,12.11000061,5.06494617,..,..,..,..
2014,YR2014,Mauritania,MRT,3.46724391,1.25234473,2.55796432495117,2.19709519242621,..,28.2
2014,YR2014,Mauritius,MUS,5.38024664,2.42503381,4.81514978408813,0.151017482159405,..,..
2014,YR2014,Mexico,MEX,5.35336781,2.78812504,5.06808996200562,0.495321042296404,0.419620007276535,27.4
2014,YR2014,"Micronesia, Fed. Sts.",FSM,11.9102993,2.0329361,12.2279996871948,..,..,..
2014,YR2014,Moldova,MDA,8.63275623,4.25988245,6.33806991577148,0.293185446371091,0.314630001783371,12.9
2014,YR2014,Monaco,MCO,4.44085073,3.59716344,1.02195000648499,..,..,..
2014,YR2014,Mongolia,MNG,4.20989752,2.40595388,5.42825603485107,0.85972525833079,0.223399996757507,18.3
2014,YR2014,Montenegro,MNE,8.00086784,4.85656452,..,1.47227234869517,0.363200008869171,26.5
2014,YR2014,Morocco,MAR,5.41626596,2.09785223,5.48276042938232,3.39845864113579,..,..
2014,YR2014,Mozambique,MOZ,6.24013042,1.71540534,6.49390125274658,0.98075949386584,..,74.4
2014,YR2014,Myanmar,MMR,4.39346027,1.06255651,2.01199841499329,3.78953437926591,..,..
2014,YR2014,Namibia,NAM,8.4089098,3.883605,9.56250667572021,4.32586724007944,0.349860012531281,..
2014,YR2014,Nauru,NRU,8.3867569,6.16783905,..,..,..,..
2014,YR2014,Nepal,NPL,5.07549381,0.87364674,3.48599410057068,1.49526274163701,..,..
2014,YR2014,Netherlands,NLD,10.56703758,7.16778851,5.458899974823,1.15968789088093,2.17330002784729,9.3
2014,YR2014,New Caledonia,NCL,..,..,..,..,..,..
2014,YR2014,New Zealand,NZL,9.40168381,7.2801528,5.80853986740112,0.998051492562093,..,..
2014,YR2014,Nicaragua,NIC,7.97716141,4.15811014,4.08329010009766,0.685091959091359,0.0893500000238419,29.2
2014,YR2014,Niger,NER,4.45377159,1.27712584,5.10368013381958,1.33859819740079,..,60.3
2014,YR2014,Nigeria,NGA,3.34840417,0.44593188,0.470742553472519,0.414718776586509,..,..
2014,YR2014,North Macedonia,MKD,6.28993368,4.01871777,..,1.09296080025624,0.516460001468658,24.4
2014,YR2014,Northern Mariana Islands,MNP,..,..,..,..,..,..
2014,YR2014,Norway,NOR,9.28297901,7.91735411,7.64403009414673,1.46227942776465,1.70369005203247,8.5
2014,YR2014,Oman,OMN,3.13740134,2.82171035,..,8.86041181394662,0.18588000535965,..
2014,YR2014,Pakistan,PAK,2.48899078,0.60481298,2.2043399810791,3.09657969704779,..,..
2014,YR2014,Palau,PLW,10.66757393,4.55899763,..,..,..,..
